occupation,count,category
CHEMIST,2,ACADEMIA
CHEMISTRY,1,ACADEMIA
COMPUTATIONAL BIOLOGIST,1,ACADEMIA
DEPARTMENT OF CHEMISTRY,1,ACADEMIA
ECONOMIST,1,ACADEMIA
ENVIRONMENTAL SCIENTIST,1,ACADEMIA
MARINE BIOLOGIST,1,ACADEMIA
MATHEMATICIAN,1,ACADEMIA
HISTORIAN,2,ACADEMIA
NEUROSCIENTIST,4,ACADEMIA
PHYSICIST,3,ACADEMIA
ACADEMIC,4,ACADEMIA
ACADEMIC RESEARCH,1,ACADEMIA
SOCIAL SCIENCE,1,ACADEMIA
SOCIOLOGIST,6,ACADEMIA
THEORETICAL PHYSICIST,1,ACADEMIA
SCIENTIST,43,ACADEMIA
RES BIOLOGIST,1,ACADEMIA
RESEARCH,6,ACADEMIA
RESEARCH ANALYST,1,ACADEMIA
RESEARCH SCIENTIST,17,ACADEMIA
RESEARCH SPECIALIST,1,ACADEMIA
RESEARCH STAFF ASSISTANT,1,ACADEMIA
RESEARCH TECHNICIAN,7,ACADEMIA
RESEARCH WORKER,1,ACADEMIA
RESEARCHER,49,ACADEMIA
SCENTIST,1,ACADEMIA
SCIENTIST-OCEANOGRAPHER,2,ACADEMIA
"SCIENTIST, ACADEMIC",1,ACADEMIA
SENIOR LAB TECH,1,ACADEMIA
SOCIAL SCIENCE RESEARCHER,1,ACADEMIA
VERY PART TIME SCIENTIST,1,ACADEMIA
ANIMAL WELL-BEING RESEARCHER,1,ACADEMIA
APPLIED MATHEMATICIAN,1,ACADEMIA
ASSISTANT RESEARCH SYSTEMS ENGINEER,1,ACADEMIA
ASSOCIATE RESEARCH SCIENTIST,3,ACADEMIA
BEHAVIORAL MEDICINE RESEARCH,1,ACADEMIA
BIOMEDICAL RESEARCH SCIENTIST,1,ACADEMIA
BIOETHICIST,1,ACADEMIA
CURATOR & POSTDOCTORAL RESEARCH SCHOLA,1,ACADEMIA
CURATOR,1,ACADEMIA
DATA ANALYST,3,ACADEMIA
DATA SPECIALIST,1,ACADEMIA
EDUCATION RESEARCHER,1,ACADEMIA
ENGINEER,4,ACADEMIA
FLOW CYTOMETRY SPECIALIST,1,ACADEMIA
IRB SPECIALIST,1,ACADEMIA
LAB ASSISTANT,2,ACADEMIA
LAB MANAGER,2,ACADEMIA
LAB TECH,1,ACADEMIA
LAB TECHNICIAN,2,ACADEMIA
LABORATORY MANAGER,1,ACADEMIA
LABORATORY WORKER,1,ACADEMIA
LIBRAIRIAN,1,ACADEMIA
LIBRARIAN,24,ACADEMIA
LIBRARIAN & LECTURER,1,ACADEMIA
LIBRARIAN ASSISTANT,1,ACADEMIA
LIBRARY ASSISTANT,2,ACADEMIA
LIBRARY ASSISTANT IV,1,ACADEMIA
LIBRARYIAN,1,ACADEMIA
MUSIC LIBRARIAN,1,ACADEMIA
OFFICER OF RESEARCH,1,ACADEMIA
POSTDOC SCIENTIST,1,ACADEMIA
POSTDOCTORAL FELLOW,5,ACADEMIA
POSTDOCTORAL RESEARCH FELLOW,2,ACADEMIA
POSTDOCTORAL RESEARCH SCIENTIST,1,ACADEMIA
POSTDOCTORAL RESEARCH SCIENTISTS,1,ACADEMIA
POSTDOCTORAL RESEARCHER IN THE SOCIETY,1,ACADEMIA
POSTDOCTORAL SCIENTIST,2,ACADEMIA
PROSPECT RESEARCH,1,ACADEMIA
ANESTHESIOLOGIST,2,MEDICAL
AUDIOLOGIST,3,MEDICAL
CARDIOLOGIST,1,MEDICAL
CLINICAL PSYCHOLOGIST,1,MEDICAL
DEVELOPMENTAL PSYCHOLOGIST,1,MEDICAL
DIAGNOSTIC RADIOLOGIST,1,MEDICAL
DOCTOR,7,MEDICAL
FAMILY PHYSICIAN,2,MEDICAL
"FAMILY THERAPIST, CLINICAL NURSE SPECI",1,MEDICAL
MD,5,MEDICAL
MEDICAL DOCTOR,2,MEDICAL
MEDICAL ONCOLOGIST,1,MEDICAL
NURSE,3,MEDICAL
NURSE PRACTITIONER,11,MEDICAL
OBSTETRICIAN GYNECOLOGIST,1,MEDICAL
OCCUPATIONAL THERAPIST,1,MEDICAL
OCCUPATIONAL THERAPY,1,MEDICAL
ORTHOPAEDIC SURGEON,2,MEDICAL
NEUROSURGEON,1,MEDICAL
PHYSICIAN,144,MEDICAL
PHYSIOLOGIST,1,MEDICAL
PEDIATRICIAN,2,MEDICAL
PROFESSOR/DOCTOR,1,MEDICAL
PSYCHIATRIST,2,MEDICAL
PSYCHOLOGIST,12,MEDICAL
PSYCHOLOGIST & NEUROSCIENTIST,1,MEDICAL
PSYCHOLOGIST/NEUROSCIENTIST,1,MEDICAL
PSYCHOLOGY PROFESSOR,1,MEDICAL
PSYCHOTHERAPIST,1,MEDICAL
PT,1,MEDICAL
RADIATION ONCOLOGIST,1,MEDICAL
REGISTERED DIETITIAN,1,MEDICAL
REGISTERED NURSE,2,MEDICAL
RESEARCH NURSE,1,MEDICAL
RESEARCH PHYSICIAN,1,MEDICAL
RN,2,MEDICAL
SURGEON,3,MEDICAL
UROLOGIST,1,MEDICAL
VASCULAR SURGEON,1,MEDICAL
PATIENT COORDINATOR,1,MEDICAL
ICU TECHNICIAN,1,MEDICAL
RESIDENT PHYSICIAN,4,MEDICAL
RESIDENT ADVISER,1,MEDICAL
SOCIAL WORK,1,MEDICAL
SOCIAL WORKER,4,MEDICAL
VIROLOGIST,1,MEDICAL
CLINICAL RESEARCH COORDINATOR,1,MEDICAL
CLINICAL RESEARCH MANAGER,1,MEDICAL
"DIRECTOR, HEALTH POLICY & MANAGEMENT",1,MEDICAL
"ASSOCIATE DIRECTOR, BIOETHICS",1,MEDICAL
EPIDEMIOLOGIST,3,MEDICAL
EPIDEMOLOGIST,1,MEDICAL
GENETIC COUNSELOR,1,MEDICAL
GLOBAL HEALTH FELLOW,1,MEDICAL
HEALTH & SAFETY,1,MEDICAL
HEALTH AND WELFARE SPECIALIST,1,MEDICAL
HEALTH EDUCATOR,1,MEDICAL
HEALTH PHYSICIST,1,MEDICAL
HEALTH RECORDS TECHNICIAN II,1,MEDICAL
HEALTH RESEARCH,2,MEDICAL
IN-HOUSE CLINICAL RESEARCH ASSOCIATE,1,MEDICAL
MEDICAL ADMINISTRATION,1,MEDICAL
MEDICAL RESEARCH,1,MEDICAL
MEDICAL RESEARCHER,2,MEDICAL
MEDICAL SCIENTIST,2,MEDICAL
NURSE SCIENTIST,1,MEDICAL
NUTRITION EDUCATION,1,MEDICAL
PATHOLOGY,1,MEDICAL
ORTHODONTIC DIRECTOR,1,MEDICAL
PHYSICIAN - SCIENTIST,1,MEDICAL
PHYSICIAN PROFESSOR,2,MEDICAL
PHYSICIAN SCIENTIST,1,MEDICAL
PHYSICIAN-ADMINISTRATOR,1,MEDICAL
PHYSICIAN-SCIENTIST,2,MEDICAL
"PHYSICIAN, DEAN",1,MEDICAL
"PHYSICIAN, SCIENTIST",1,MEDICAL
PHYSICIAN/ADMINISTRATOR,1,MEDICAL
PUBLIC HEALTH RESEARCH,1,MEDICAL
PUBLIC HEALTH RESEARCHER,1,MEDICAL
PUBLIC HEALTH ORGANIZER,1,MEDICAL
PUBLIC HEALTH PROFESSIONAL,1,MEDICAL
COLLEGE STUDENT,1,UNDERGRADS
FULL TIME STUDENT,1,UNDERGRADS
FULL-TIME STUDENT,3,UNDERGRADS
LIBRARY ASSISTANT (STUDENT),1,UNDERGRADS
"RESEARCH ASSISTANT, STUDENT",1,UNDERGRADS
RESEARCH ASSISTANT/STUDENT,1,UNDERGRADS
STUDENT,334,UNDERGRADS
STUDENT / TUTOR,1,UNDERGRADS
UNDERGRADUATE STUDENT,1,UNDERGRADS
STUDENT EMPLOYEE,1,UNDERGRADS
UNDERGRADUATE RESEARCH ASSISTANT,1,UNDERGRADS
UNDERGRADUATE RESEARCHER,2,UNDERGRADS
"STUDENT, TEACHING FELLOW",1,UNDERGRADS
STUDENT/ COMPUTER PROGRAMMER,1,UNDERGRADS
STUDENT/RESEARCH ASSISTANT,2,UNDERGRADS
STUDENT/RESEARCHER,1,UNDERGRADS
STUDENTS - ENVIRONMENTAL SCIENCE & AST,1,UNDERGRADS
VETERAN/STUDENT/WORK-STUDY,1,UNDERGRADS
WORK STUDY,1,UNDERGRADS
WORK-STUDY,1,UNDERGRADS
"STUDENT, INTERN",1,UNDERGRADS
INTERN,1,UNDERGRADS
STUDENT WORKER,2,UNDERGRADS
DOCTORAL STUDENT,4,GRAD
GRAD STUDENT,14,GRAD
GRADUATE STUDENT,87,GRAD
LAW STUDENT,2,GRAD
MASTERS STUDENT,1,GRAD
MEDICAL STUDENT,5,GRAD
NURSE PRACTITIONER STUDENT,1,GRAD
NURSING STUDENT,1,GRAD
GRADUATE RESEARCH ASSISTANT,10,GRAD
GRADUATE STUDENT / TEACHING ASSISTANT,1,GRAD
GRADUATE STUDENT EMPLOYEE,1,GRAD
GRADUATE STUDENT TEACHING ASSISTANT,1,GRAD
"GRADUATE STUDENT, RESEARCH ASSISTANT,",1,GRAD
"GRADUATE STUDENT, TEACHING FELLOW",1,GRAD
GRADUATE STUDENT/EVENT COORDINATOR,1,GRAD
GRADUATE STUDENT/FELLOW,1,GRAD
GRADUATE STUDENT/RESEARCHER,1,GRAD
GRADUATE STUDENT/TA,1,GRAD
GRADUATE STUDENT/TEACHER'S ASSISTANT,1,GRAD
GRADUATE TEACHING ASSISTANT,1,GRAD
GRADUATE WORKER,2,GRAD
GRADUATE RESEARCH ASSISTANT IN PHYSICS,1,GRAD
GRADUATE RESEARCHER,1,GRAD
GRAD STUDENT/TEACHER,1,GRAD
GRADUATE FELLOW,1,GRAD
GRADUATE FELLOW IN ASTRONOMY,1,GRAD
PH.D CANDIDATE & TEACHING FELLOW,1,GRAD
PH.D STUDENT,2,GRAD
PH.D. STUDENT,2,GRAD
PH.D. STUDENT/ INSTRUCTOR,1,GRAD
PHD CANDIDATE,7,GRAD
PHD CANDIDATE AND TEACHING FELLOW,1,GRAD
PHD HISTORY,2,GRAD
PHD RESEARCHER,1,GRAD
PHD STUDENT,20,GRAD
PHD STUDENT - EPIDEMIOLOGY,1,GRAD
PHD STUDENT/ TEACHING ASSISTANT,1,GRAD
PHD STUDENT/BIOLOGIST,1,GRAD
PHD STUDENT/TEACHING ASSOCIATE,1,GRAD
PHD TEACHING ASSISTANT,1,GRAD
RESEARCH ASSOCIATE,3,GRAD
RESEARCH FELLOW/PH.D. CANDIDATE,1,GRAD
RESEARCH ASSISTANT,23,GRAD
RESEARCH PART-TIME,1,GRAD
"RESTAURANT SERVER, TUTOR, GRADUATE STU",1,GRAD
TA,1,GRAD
TEACHER'S ASSISTANT,2,GRAD
TEACHER/RESEARCHER,1,GRAD
TEACHING ASSISTANT,5,GRAD
TEACHING ASSISTANT/STUDENT,1,GRAD
"STUDENT, TEACHER, UNION LOCAL PRESIDEN",1,GRAD
STUDENT RESEARCHER,1,GRAD
DOCTORAL STUDENT/TEACHER,1,GRAD
"FULL TIME GRADUATE STUDENT, TEACHING F",1,GRAD
FULL TIME STUDENT/RESEARCHER,1,GRAD
MSW/MPA STUDENT,1,GRAD
SENIOR FELLOW,1,GRAD
SENIOR UNIVERSITY FELLOW,1,GRAD
ACADEMIC ADVISOR,1,OTHER
ADMISSIONS AND RECRUITMENT,1,OTHER
ADVISOR,2,OTHER
ANALYST,2,OTHER
ARCHITECT,1,OTHER
ARCHIVES ASSISTANT,1,OTHER
ARCHIVIST,2,OTHER
AUTHOR,1,OTHER
AV TECHNICIAN,2,OTHER
CAREER COUNSELOR,1,OTHER
COLLEGE ADMISSIONS,1,OTHER
COLLEGE DEAN,1,OTHER
COLLEGE MENTOR,1,OTHER
COLUMBIA,1,OTHER
COMMUNITY HEALTH WORKER,1,OTHER
COMPOSER,1,OTHER
CONTINUING EDUCATION,1,OTHER
HANDYPERSON,1,OTHER
INNOVATION FELLOW,1,OTHER
LECTURER-IN-LAW,1,OTHER
MAIL DRIVER,1,OTHER
MARINER,1,OTHER
LIFEGUARD,1,OTHER
LITERACY CONSULTANT,1,OTHER
LITERACY SPECIALIST,1,OTHER
MERCHANT MARINER,1,OTHER
NOT EMPLOYED,1,OTHER
nan,2,OTHER
READING SPECIALIST,1,OTHER
REFRIGERATION CONTROL ENGINEER,1,OTHER
REFRIGERATION ENGINEER,1,OTHER
