occupation,count,category
RESEARCH PROFESSOR,2,FACULTY
RESEARCHER/INSTRUCTOR,1,FACULTY
RESEARCHER/PROF.,1,FACULTY
RESEARCHER/WRITER/PROFESSOR,1,FACULTY
RETIRED PROFESSOR,1,FACULTY
"RETIRED PROFESSOR, STILL TEACHING",1,FACULTY
SENIOR ASSISTANT DEAN,1,FACULTY
SENIOR LECTURER,2,FACULTY
UNDERPAID ADJUNCT PROFESSOR,1,FACULTY
UNIVERSITY DEAN,1,FACULTY
UNIVERSITY PROFESSOR,12,FACULTY
WRITER/PROFESSOR,2,FACULTY
ASST. PROFESSOR,1,FACULTY
ASST DEAN FINANCE,1,FACULTY
ASSISTANT DEAN- DEVELOPMENT,1,FACULTY
ASSISTANT CLINICAL PROFESSOR OF NUTRIT,1,FACULTY
ADJUNCT INSTRUCTOR,2,TEACHING
ADJUNCT LECTURER,1,TEACHING
"ADMINISTRATOR, TEACHER",1,TEACHING
"ADMINISTRATOR, YOGA TEACHER",1,TEACHING
ASSOCIATE INSTRUCTOR,1,TEACHING
BIOLOGICAL SCIENCES INSTRUCTOR,2,TEACHING
CLASSROOM ASSISTANT,1,TEACHING
COLLEGE INSTRUCTOR,1,TEACHING
COLLEGE TEACHER,1,TEACHING
EDUCATION,24,TEACHING
EDUCATOR,38,TEACHING
EDUCATOR-ARCHITECT,1,TEACHING
EDUCATPR,1,TEACHING
ESL TEACHER,1,TEACHING
FACULTY LECTURER,1,TEACHING
GRADUATE INSTRUCTOR,5,TEACHING
INSTRUCTOR,23,TEACHING
INSTRUCTOR OF RECORD,1,TEACHING
LECTURER,40,TEACHING
LECTURER IN FRENCH,1,TEACHING
LECTURER OF SOCIOLOGY,1,TEACHING
READING AND ARGUMENT TUTOR,1,TEACHING
RETIRED UNIV. TEACHER,1,TEACHING
SCIENTIST AND EDUCATOR,1,TEACHING
SWIM COACH,1,TEACHING
TEACHER,67,TEACHING
TEACHER - RETIRED,1,TEACHING
TEACHER/EDITOR,1,TEACHING
TEACHING ASSOCIATE,1,TEACHING
TEACHING FELLOW,10,TEACHING
TRAINER,1,TEACHING
TUTOR,4,TEACHING
TUTOR/WRITER,1,TEACHING
UNIVERSITY INSTRUCTOR,1,TEACHING
WRITING INSTRUCTOR,2,TEACHING
YOGA TEACHER,1,TEACHING
WRITER AND TEACHER,1,TEACHING
PRECEPTOR,1,TEACHING
DESIGN TEACHING FELLOW,1,TEACHING
COLLEGE SWIM COACH,1,TEACHING
COLLEGE SOFTBALL COACH,1,TEACHING
COACH,2,TEACHING
READING SPECIALIST,1,TEACHING
ACADEMIC ADMINISTRATOR,2,ADMIN
ADM,1,ADMIN
ADM COORDINATOR,1,ADMIN
ADM. ASST.,1,ADMIN
ADMIN,12,ADMIN
ADMIN ASSISTANT,5,ADMIN
ADMIN ASST,2,ADMIN
ADMIN ASST.,1,ADMIN
ADMIN COORDINATOR,1,ADMIN
ADMIN EMPLOYEE - ADMIN,1,ADMIN
ADMIN MANGER,1,ADMIN
ADMIN MGR,1,ADMIN
ADMIN RESEARCH COORDINATOR,1,ADMIN
ADMIN STAFF,1,ADMIN
ADMIN. AIDE,1,ADMIN
ADMIN. ASST.,1,ADMIN
ADMIN/CLERICAL,1,ADMIN
ADMINISRATION,1,ADMIN
ADMINISRATOR,1,ADMIN
ADMINISTRATION,19,ADMIN
ADMINISTRATIVE,2,ADMIN
ADMINISTRATIVE AIDE,2,ADMIN
ADMINISTRATIVE ASSISTANT,25,ADMIN
ADMINISTRATIVE COORDINATOR,5,ADMIN
ADMINISTRATIVE DIRECTOE,1,ADMIN
ADMINISTRATIVE DIRECTOR,1,ADMIN
ADMINISTRATIVE MANAGER,2,ADMIN
"ADMINISTRATIVE MANAGER, HR",1,ADMIN
ADMINISTRATIVE OFFICER,1,ADMIN
ADMINISTRATIVE PROJECT COORDINATOR,1,ADMIN
ADMINISTRATOR,63,ADMIN
ADMINISTRATOR/WRITE,1,ADMIN
ADMINISTRATOR/WRITER,1,ADMIN
ADMINSTRATOR,2,ADMIN
ALUMNI AND DEVELOPMENT,1,ADMIN
ALUMNI RELATIONS,4,ADMIN
ALUMNI RELATIONS COORDINATOR,1,ADMIN
ASSOCIATE VP GOVERNMENT RELATIONS,1,ADMIN
BUDGET AND FINANCE MANAGER,1,ADMIN
BUILDING SERVICES,1,ADMIN
BUSINESS,1,ADMIN
BUSINESS & ADMIN MANAGER,1,ADMIN
BUSINESS ANALYST,2,ADMIN
BUSINESS DEVELOPMENT,1,ADMIN
BUSINESS MANAGER,5,ADMIN
BUSINESS OFFICER,1,ADMIN
BUSINESS SUPPORT SPECIALIST II,1,ADMIN
"CHAIR, DEPT. OF ARCHITECTURE AND URBAN",1,ADMIN
CLERICAL,1,ADMIN
CLERK,1,ADMIN
COLLEGE ADMINISTRATION,1,ADMIN
COLLEGE ADMINISTRATOR,9,ADMIN
COMMS DIRECTOR,1,ADMIN
COMMUNICATIONS,17,ADMIN
COMMUNICATIONS AND MARKETING DIRECTOR,1,ADMIN
COMMUNICATIONS COORDINATOR,2,ADMIN
COMMUNICATIONS DIRECTOR,3,ADMIN
COMMUNICATIONS MANAGER,3,ADMIN
COMMUNICATIONS OFFICER,3,ADMIN
COMMUNICATIONS/EDITOR,1,ADMIN
COMMUNITY COLLEGE ADMINISTRATOR,1,ADMIN
COMMUNITY RELATIONS DIRECTOR,1,ADMIN
COMPLIANCE,2,ADMIN
COMPLIANCE ASSISTANT,1,ADMIN
CONTRACT COORDINATOR,1,ADMIN
CONTRACT SPECIALIST,2,ADMIN
CONTRACTS MANAGER,1,ADMIN
DATA COORDINATOR,2,ADMIN
DATA ENTRY,1,ADMIN
DATA MANAGEMENT,1,ADMIN
DATA MANAGEMENT/INFORMATICS LEAD,1,ADMIN
DATA MANAGER,6,ADMIN
DATABASE ADMINISTRATION,1,ADMIN
DATABASE ADMINISTRATOR,1,ADMIN
DEPARTMENT ADMINISTRATOR,1,ADMIN
DEPT. ADMIN.,1,ADMIN
DEPUTY ACADEMIC DIRECTOR,1,ADMIN
DEPUTY UNIVERSITY REGISTRAR,1,ADMIN
DIGITAL COMMUNICATIONS STRATEGIEST,1,ADMIN
DIGITAL CONTENT STRATEGIST,1,ADMIN
DIGITAL CONTENT WRITER,1,ADMIN
DIGITAL MEDIA COORDINATOR,1,ADMIN
DIGITAL PRESERVATION ASSISTANT,1,ADMIN
DIGITAL PROJECT DIRECTOR,1,ADMIN
DIGITAL STRATEGIST,1,ADMIN
DEVELOPMENT,8,ADMIN
DEVELOPMENT ASSISTANT,3,ADMIN
DEVELOPMENT COORDINATOR,1,ADMIN
DEVELOPMENT OFFICER,1,ADMIN
DIRECTOR,26,ADMIN
DIRECTOR - OFFICE,1,ADMIN
DIRECTOR ACADEMIC,1,ADMIN
DIRECTOR ENERGY MANAGEMENT,1,ADMIN
DIRECTOR OF ADVISING,1,ADMIN
DIRECTOR OF BUDGET OPERATIONS,1,ADMIN
DIRECTOR OF COMMUNICATIONS,2,ADMIN
DIRECTOR OF DEVELOPMENT,2,ADMIN
DIRECTOR OF EMPLOYEE AND LABOR RELATIO,1,ADMIN
DIRECTOR OF FINANCE,2,ADMIN
DIRECTOR OF GOVERNMENT RELATIONS,1,ADMIN
DIRECTOR OF OPERATIONS,3,ADMIN
DIRECTOR OF PUBLIC PROGRAMS AND ENGAGE,1,ADMIN
DIRECTOR OF STUDENT ENGAGEMENT,1,ADMIN
"DIRECTOR, COMMUNICATIONS",1,ADMIN
"DIRECTOR, EXECUTIVE EDUCATION",1,ADMIN
"DIRECTOR, OPERATIONS",1,ADMIN
"DIRECTOR, REVENUE CYCLE",1,ADMIN
DIRECTOR/ ASSOCIATE FACULTY,1,ADMIN
EDITOR,14,ADMIN
EDUCATION ADMINISTRATION,3,ADMIN
EDUCATION ADMINISTRATOR,1,ADMIN
EDUCATION MANAGEMENT,1,ADMIN
EDUCATION PROGRAM MANAGER,1,ADMIN
EDUCATIONAL ASSESSMENT SPECIALIST,1,ADMIN
EDUCATIONAL CONSULTANT,1,ADMIN
ENROLLMENT MANAGEMENT,1,ADMIN
ENROLLMENT OPERATIONS SPECIALIST,1,ADMIN
EVALUATOR,1,ADMIN
EVENT ADMINISTRATOR,1,ADMIN
EVENT PLANNER,2,ADMIN
EVENT PLANNING,1,ADMIN
EVENT SERVICES COORDINATOR,1,ADMIN
EVENTS PRODUCER,1,ADMIN
EXEC ASSISTANT,1,ADMIN
EXEC DIRECTOR,1,ADMIN
EXECUTIVE,1,ADMIN
EXECUTIVE ASSISTANT,10,ADMIN
EXECUTIVE DIRECTOR,6,ADMIN
EXTERNAL AFFAIRS,1,ADMIN
FACILITIES MANAGEMENT,1,ADMIN
FACILITIES MANAGER,1,ADMIN
FACILITIES MGMT,1,ADMIN
FELLOWSHIP DIRECTOR,1,ADMIN
FILM EVENT MANAGER,1,ADMIN
FINANCE,9,ADMIN
FINANCE DIRECTOR,1,ADMIN
FINANCE MANAGER,2,ADMIN
FINANCE OPERATION MANAGER,1,ADMIN
FINANCE/EDUCATION,1,ADMIN
FINANCIAL ANALYST,5,ADMIN
FINANCIAL MANAGEMENT,1,ADMIN
FINANCIAL MANAGER,1,ADMIN
FINANCIAL MGR,1,ADMIN
FINANCIAL SERVICE COORDINATOR,1,ADMIN
FINANCIAL SYSTEMS ANALYST,1,ADMIN
FREELANCE BLOGGER,1,ADMIN
FUNDRAISER,23,ADMIN
FUNDRAISER FOR CLIMATE,1,ADMIN
FUNDRAISING,5,ADMIN
FUNDRAISING PROFESSIONAL,1,ADMIN
GENERAL MANAGER,1,ADMIN
GOVERNMENT RELATIONS,1,ADMIN
GIFT  FOC ANALYST,1,ADMIN
GRANT AND RESEARCH DEVELOPMENT ASSOCIA,1,ADMIN
GRANT MANAGER,1,ADMIN
GRANTS AND CONTRACT OFFICER,1,ADMIN
GRANTS MANAGER,4,ADMIN
GRANTS MANAGMENT,1,ADMIN
GRANTS SPECIALIST,1,ADMIN
GRAPHIC ARTIST,1,ADMIN
GRAPHIC DESIGNER,6,ADMIN
"GRAPHIC DESIGNER (PART-TIME), STUDENT",1,ADMIN
GRAPHICS,1,ADMIN
HEALTH ADMINISTRATOR,1,ADMIN
HEALTH CARE,1,ADMIN
HEALTH CARE ADMINISTRATION,1,ADMIN
HEALTHCARE,4,ADMIN
HEALTHCARE ADMIN,2,ADMIN
HEALTHCARE ADMINISTRATION,1,ADMIN
HEALTHCARE ADMINISTRATOR,1,ADMIN
HEALTHCARE EXEC,1,ADMIN
HIGHER ED,7,ADMIN
HIGHER ED ADMIN,4,ADMIN
HIGHER ED ADMINISTRATION,6,ADMIN
HIGHER ED ADMINISTRATOR,2,ADMIN
HIGHER ED DEVELOPMENT,1,ADMIN
HIGHER EDUCATION,10,ADMIN
HIGHER EDUCATION ADMIN,1,ADMIN
HIGHER EDUCATION ADMINISTRATION,3,ADMIN
HIGHER EDUCATION ADMINISTRATOR,3,ADMIN
HR,3,ADMIN
HR ADMIN MANAGER,1,ADMIN
HR ADMINISTRATOR,1,ADMIN
HR BUSINESS PARTNER,1,ADMIN
HR MANAGER,2,ADMIN
HR REPRESENTATIVE,1,ADMIN
HR SPECIALIST,1,ADMIN
HUMAN RESOURCES,4,ADMIN
HUMAN RESOURCES GENERALIST,1,ADMIN
HUMAN RESOURCES MANAGEMENT PROFESSIONA,1,ADMIN
HUMAN RIGHTS EDUCATOR,1,ADMIN
INTRAMURAL SUPERVISOR,1,ADMIN
LABOR RELATIONS,1,ADMIN
MANAGEMENT,1,ADMIN
MANAGER,25,ADMIN
MANAGER OF BUDGET & FINANCE,1,ADMIN
MANAGER OF WEB AND DIGITAL DESIGN,1,ADMIN
MANGING EDITOR,1,ADMIN
MARKETING,4,ADMIN
MARKETING & COMMUNICATIONS,1,ADMIN
MARKETING MANAGER,2,ADMIN
MARKETING PROFESSIONAL,1,ADMIN
MATCHING GIFT COORDINATOR,1,ADMIN
MEDIA ANALYST,1,ADMIN
MEDIA RELATIONS,1,ADMIN
MEDIA SPECIALIST,1,ADMIN
MEDIA TECHNICIAN,1,ADMIN
NONPROFIT,1,ADMIN
NONPROFIT EXECUTIVE,1,ADMIN
OFFICE AID,1,ADMIN
OFFICE ASSISTANT,2,ADMIN
OFFICE ASSISTANT/STUDENT,1,ADMIN
OFFICE MANAGER,1,ADMIN
OFFICE SUPPORT,2,ADMIN
OFFICE SUPPORT ASSISTANT,1,ADMIN
OFFICE WORKER/ MUSICIAN,1,ADMIN
OFFICER OF ADMINISTRATION,2,ADMIN
OHSP COORDINATOR,1,ADMIN
OPERATIONS ASSOCIATE,1,ADMIN
OPERATIONS COORDINATOR,1,ADMIN
OPERATIONS MANAGER,1,ADMIN
OPERATIONS OFFICER,1,ADMIN
PAYROLL,1,ADMIN
PAYROLL ANALYST,1,ADMIN
PPET DIRECTOR OF RESEARCH & POLICY,1,ADMIN
PROGRAM ASSISTANT,5,ADMIN
PROGRAM COORDINATOR,18,ADMIN
PROGRAM DEVELOPMENT COORDINATOR,1,ADMIN
PROGRAM DIRECTOR,8,ADMIN
PROGRAM MANAGEMENT,1,ADMIN
PROGRAM MANAGER,15,ADMIN
PROGRAM OFFICER,2,ADMIN
PROJECT ANALYST,1,ADMIN
PROJECT ASSISTANT,1,ADMIN
PROJECT COORDINADOR,1,ADMIN
PROJECT COORDINATOR,6,ADMIN
PROJECT DEVELOPMENT,1,ADMIN
PROJECT DIRECTOR,4,ADMIN
PROJECT MANAGER,16,ADMIN
PUBLI SAFETY OFFICER,1,ADMIN
PUBLIC AFFAIRS,1,ADMIN
PUBLIC INFORMATION OFFICER,1,ADMIN
PUBLIC SAFETY,2,ADMIN
PUBLIC SAFETY OFFICER,2,ADMIN
REAL ESTATE MGMT,1,ADMIN
RECREATION AND EVENTS ATTENDANT,1,ADMIN
RECRUITER,1,ADMIN
RESEARCH ADMIN,1,ADMIN
RESEARCH ADMINISTRATION,1,ADMIN
RESEARCH ADMINISTRATIVE MANAGER,1,ADMIN
RESEARCH ADMINISTRATOR,3,ADMIN
RESEARCHER/ADMINISTRATOR,1,ADMIN
RESIDENT ADVISOR,2,ADMIN
RESIDENT DIRECTOR,1,ADMIN
SAFETY MANAGER,1,ADMIN
SAFETY PROFESSIONAL,1,ADMIN
SALES,1,ADMIN
SALESFORCE ARCHITECT,1,ADMIN
SCIENCE ADMINISTRATOR,1,ADMIN
SCIENCE OFFICER,2,ADMIN
SECRETARY,3,ADMIN
SENIOR CLERK,1,ADMIN
SENIOR CONSULTANT,1,ADMIN
SENIOR CONTRACTS OFFICER,1,ADMIN
SENIOR EXECUTIVE DIRECTOR,1,ADMIN
SENIOR FINANCE MANAGER,1,ADMIN
SENIOR BUSINESS MANAGER,1,ADMIN
SENIOR CATEGORY MANAGER,1,ADMIN
SECURITY,2,ADMIN
SECURITY GUARD,1,ADMIN
SECURITY OFFICER,1,ADMIN
SENIOR PROGRAM COORDINATOR,1,ADMIN
SENIOR PROJECT MANAGER,1,ADMIN
SOCIAL MEDIA DIRECTOR,1,ADMIN
SR. BUSINESS ANALYST,1,ADMIN
SR. PROJECT MANAGER,1,ADMIN
STAFF,3,ADMIN
STAFF ASSOCIATE,4,ADMIN
STAFF DEVELOPER,1,ADMIN
STAFF WRITER,1,ADMIN
SENIOR STAFF ASSOCIATE,3,ADMIN
STOCK CLERK,1,ADMIN
SENIOR WRITER,1,ADMIN
SPECIAL ADVISER,1,ADMIN
SPECIAL ASSISTANT,1,ADMIN
STUDENT AFFAIRS,2,ADMIN
STUDENT AFFAIRS PROFESSIONAL,1,ADMIN
STUDENT AIDE,1,ADMIN
STUDENT ASSISTANT,1,ADMIN
STUDENT CONSULTANT,1,ADMIN
STUDENT DINING ATTENDANT,1,ADMIN
STUDENT EMPLOYEE,2,ADMIN
STUDENT FUNDRAISER,1,ADMIN
STUDENT GALLERY ASSISTANT,1,ADMIN
STUDENT HEALTH ADMIN.,1,ADMIN
STUDENT JOB,1,ADMIN
STUDENT REPRESENTATIVE,1,ADMIN
SUB AWARDS MANAGER,1,ADMIN
SUPERINTENDENT OF BUILDINGS,1,ADMIN
SUPERVISOR,1,ADMIN
SUPERVISOR OF ENVIRONMENTAL CONTROLS,1,ADMIN
SUPPLY CHAIN ASSISTANT,1,ADMIN
SUPPORT STAFF,1,ADMIN
TITLE IX MANAGER,1,ADMIN
UNION REP,1,ADMIN
UNIVERSITY ADMIN,2,ADMIN
UNIVERSITY ADMINISTRATION,3,ADMIN
UNIVERSITY ADMINISTRATOR,11,ADMIN
VARIABLE HOURS OFFICER.,1,ADMIN
VICE PRESIDENT ATTORNEY,1,ADMIN
VP,1,ADMIN
VP FINANCE,1,ADMIN
WRITER,12,ADMIN
WORKFORCE DEVELOPMENT COORDINATOR,1,ADMIN
WRITER/EDITOR,1,ADMIN
WRITING FELLOW,1,ADMIN
APPLICATION DEVELOPER,1,ADMIN
AV MANAGER,2,ADMIN
AV TECH,3,ADMIN
AV TECHNICIAN,1,ADMIN
BROADCAST TECH,1,ADMIN
COMPUTER ENGINEER,1,ADMIN
COMPUTER PROGRAMMER,2,ADMIN
COMPUTER SECURITY,1,ADMIN
COMPUTER SPECIALISTS,1,ADMIN
COMPUTER TECH,2,ADMIN
COMPUTER TECHNICIAN,1,ADMIN
CONTROL TECH,1,ADMIN
CTO,1,ADMIN
CUSTOMER SERVICE REP,1,ADMIN
DIRECTOR OF INFORMATION TECHNOLOGY,1,ADMIN
DIRECTOR OF IT,2,ADMIN
EDUCATION TECHNOLOGIST,2,ADMIN
EDUCATIONAL TECHNOLOGIST,3,ADMIN
EDUCATIONAL TECHNOLOGY SPECIALIST,1,ADMIN
FIELD TECHNICIAN,1,ADMIN
FULL STACK DEVELOPER,1,ADMIN
INFORMATION SECURITY MANAGER,1,ADMIN
INFORMATION TECHNOLOGY,1,ADMIN
INFORMATION TECHNOLOGY MANAGER,1,ADMIN
IT,10,ADMIN
IT ANALYST,1,ADMIN
IT AUDITOR,1,ADMIN
IT DIRECTOR,5,ADMIN
IT ENGINEER,1,ADMIN
IT MANAGER,3,ADMIN
IT MGR,1,ADMIN
IT PROFESSIONAL,2,ADMIN
IT SECURITY,1,ADMIN
IT SPECIALIST,4,ADMIN
NETWORK OPERATIONS,1,ADMIN
NETWORK TECH,1,ADMIN
ONLINE HIGHER ED,1,ADMIN
OPERATIONS AND SYSTEMS SUPPORT SPECIAL,1,ADMIN
PROGRAMMER,9,ADMIN
PROGRAMMER/WEB DESIGNER,1,ADMIN
SENIOR TECHNICIAN,1,ADMIN
SENIOR UNIX ENGINEER,1,ADMIN
SOFTWARE DEVELOPER,6,ADMIN
SOFTWARE DEVELOPMENT,1,ADMIN
SOFTWARE DEVELOPMENT  MUSIC,1,ADMIN
SOFTWARE DEVELOPMER,1,ADMIN
SOFTWARE ENGINEER,2,ADMIN
SOFTWARE PROFESSIONAL,1,ADMIN
SR.  UNIX ENGINEER,1,ADMIN
SYS ADMIN,1,ADMIN
SYSTEM ADMIN,1,ADMIN
SYSTEM ADMINISTRATOR,1,ADMIN
SYSTEM ANALYST,1,ADMIN
SYSTEMS ADMINISTRATOR,3,ADMIN
SYSTEMS ANALYST,2,ADMIN
SYSTEMS DIRECTOR,1,ADMIN
TECHNICAL,1,ADMIN
TECHNICIAN,3,ADMIN
TECHNOLOGIST,1,ADMIN
TECHNOLOGY,1,ADMIN
TECHNOLOGY & MEDIA MANAGER,1,ADMIN
TECHNOLOGY LICENSING OFFICER,1,ADMIN
TECHNOLOGY MANAGER,2,ADMIN
TELECOMMUNICATIONS,1,ADMIN
TRAINING AND USER SUPPORT,1,ADMIN
WEB DESIGNER,1,ADMIN
WEB DEVELOPER,3,ADMIN
WEB PRODUCER,1,ADMIN
WEB STRATEGIST,1,ADMIN
WEBINAR SUPPORT SPECIALIST,1,ADMIN
WRITER // TECH SUPPORT,1,ADMIN
VIDEO EDITOR/PHOTOGRAPHER/INSTRUCTOR,1,ADMIN
VIDEOGRAPHER,2,ADMIN
VIDEOGRAPHER/DIRECTOR,1,ADMIN
PROCUREMENT COORDINATOR,1,ADMIN
PROCUREMENT OFFICER,1,ADMIN
PRODUCTION DIRECTOR,1,ADMIN
PRODUCTION EDITOR,1,ADMIN
PRODUCTION MANAGER,2,ADMIN
PRODUCTION SOUND,2,ADMIN
PRACTICE ASSISTANT,1,ADMIN
PRACTICE MANAGER,2,ADMIN
PR,1,ADMIN
PRE-EMPLOYMENT SPECIALIST,1,ADMIN
PRE-EMPLOYMENT TRANSITION SPECIALIST,1,ADMIN
POST PRODUCTION,1,ADMIN
PHOTOGRAPHER,2,ADMIN
PHILOSOPHY DEPARTMENT OFFICE ASSISTANT,1,ADMIN
PARALEGAL,1,ADMIN
LOBBYIST,2,ADMIN
LEGAL,1,ADMIN
LEGAL ASST.,1,ADMIN
LEGAL RESEARCHER,1,ADMIN
LAWYER,12,ADMIN
JOURNALIST/DOCUMENTARY FILMMAKER,1,ADMIN
IEA SPECIALIST,1,ADMIN
FACULTY AFFAIRS ASSISTANT,1,ADMIN
EVP DEVELOPMENT,1,ADMIN
DECANAL DIRECTOR,1,ADMIN
COORDINATOR,14,ADMIN
COORDINATOR OF LANGUAGE RESOURCE LAB,1,ADMIN
CREATIVE DIRECTOR,1,ADMIN
CONTACT TRACER FOR COVID-19,1,ADMIN
CABLE TV PRODUCER,1,ADMIN
BOX OFFICE STAFF,1,ADMIN
BC FOOD WEB MANAGER,1,ADMIN
BENEFITS SPECIALIST,1,ADMIN
ATTORNEY,17,ADMIN
ASST. DIRECTOR OF EDUCATIONAL FINANCIN,1,ADMIN
ASST. DIRECTOR OF PAYROLL,1,ADMIN
ASST DIRECTOR,1,ADMIN
ASSOCIATE DIRECTOR,11,ADMIN
ASSOCIATE DIRECTOR OF ADMISSIONS,1,ADMIN
ASSOCIATE DIRECTOR OF COMMUNICATIONS,1,ADMIN
ASSOCIATE DIRECTOR OF INFORMATICS AND,1,ADMIN
"ASSOCIATE DIRECTOR, CSSD",1,ADMIN
"ASSOCIATE DIRECTOR, GRADUATE LEGAL STU",1,ADMIN
ASSISTANT PROVOST,1,ADMIN
ASSISTANT TO THE CHAPLAIN,1,ADMIN
ASSOCIATE,2,ADMIN
ASSISTANT DIRECTOR,13,ADMIN
ASSISTANT DIRECTOR - BROADCAST AND MUL,1,ADMIN
ASSISTANT DIRECTOR OF ADMISSIONS OPERA,1,ADMIN
ASSISTANT DIRECTOR OF COMMUNICATIONS,1,ADMIN
ASSISTANT DIRECTOR OF MARKETING,2,ADMIN
ASSISTANT DIRECTOR OF STUDENT LIFE,1,ADMIN
"ASSISTANT DIRECTOR, ALUMNI RELATIONS",1,ADMIN
"ASSISTANT DIRECTOR, CLASS GIVING",1,ADMIN
"ASSISTANT DIRECTOR, FACULTY PROGRAMS A",1,ADMIN
"ASSISTANT DIRECTOR, HUMAN RESOURCES",1,ADMIN
"ASSISTANT DIRECTOR, MARKETING",1,ADMIN
ASSISTANT EVENT MANAGER,1,ADMIN
ASSISTANT FINANCE DIRECOT,1,ADMIN
ASSISTANCE DIRECTOR,1,ADMIN
ASSISTANT,5,ADMIN
ASSISTANT ACCOMMODATIONS MANAGER,1,ADMIN
ACAD DEPT LEAD SECRETARY,1,ADMIN
ACADEMIC AFFAIRS,1,ADMIN
ACADEMIC ATTORNEY,1,ADMIN
ACADEMIC COORDINATOR,1,ADMIN
ACADEMIC PROGRAM MANAGER,1,ADMIN
ACADEMIC SECRETARY,1,ADMIN
ACCOUNTANT,4,ADMIN
ACTING CHIEF OF STAFF,1,ADMIN
CHIEF OF STAFF,1,ADMIN
CHAPLAIN,1,ADMIN
ACADEMIA,2,ACADEMIA
ACADEMIC,12,ACADEMIA
ADJUNCT SENIOR RESEARCH SCHOLAR,1,ACADEMIA
ANTHROPOLOGIST,2,ACADEMIA
ANTHROPOLOGOIST,1,ACADEMIA
ART HANDLER,1,ACADEMIA
ART HISTORIAN,3,ACADEMIA
ASSOCIATE RESEARCH SCIENTIST,2,ACADEMIA
ASTRONOMER,3,ACADEMIA
ASTROPHYSICIST,1,ACADEMIA
BIBLIOGRAPHER ASSISTANT,2,ACADEMIA
BIBLIOGRAPHIC ASSISTANT,2,ACADEMIA
BIBLIOGRAPHIC ASSITANT,1,ACADEMIA
BILBLIOGRAPHIC ASSISTANT,1,ACADEMIA
BIOLOGIST,5,ACADEMIA
BIOMEDICAL RESEARCH,1,ACADEMIA
CHEMIST,2,ACADEMIA
CLIMATE SCIENTIST,3,ACADEMIA
